el	es 
data\el_es\el\20091007-0900-PLENARY-15-el_es_20091007-21-16-56_5.wav	data\el_es\es\20091007-0900-PLENARY-15-el_es_20091007-21-16-56_5.wav
data\el_es\el\20091007-0900-PLENARY-15-el_es_20091007-21-16-56_6.wav	data\el_es\es\20091007-0900-PLENARY-15-el_es_20091007-21-16-56_6.wav
data\el_es\el\20091007-0900-PLENARY-15-el_es_20091007-21-16-56_7.wav	data\el_es\es\20091007-0900-PLENARY-15-el_es_20091007-21-16-56_7.wav
data\el_es\el\20091007-0900-PLENARY-15-el_es_20091007-21-16-56_8.wav	data\el_es\es\20091007-0900-PLENARY-15-el_es_20091007-21-16-56_8.wav
data\el_es\el\20091007-0900-PLENARY-15-el_es_20091007-21-16-56_9.wav	data\el_es\es\20091007-0900-PLENARY-15-el_es_20091007-21-16-56_9.wav
data\el_es\el\20091007-0900-PLENARY-16-el_es_20091007-21-58-35_1.wav	data\el_es\es\20091007-0900-PLENARY-16-el_es_20091007-21-58-35_1.wav
data\el_es\el\20091007-0900-PLENARY-16-el_es_20091007-21-58-35_2.wav	data\el_es\es\20091007-0900-PLENARY-16-el_es_20091007-21-58-35_2.wav
data\el_es\el\20091007-0900-PLENARY-16-el_es_20091007-21-58-35_3.wav	data\el_es\es\20091007-0900-PLENARY-16-el_es_20091007-21-58-35_3.wav
data\el_es\el\20091007-0900-PLENARY-16-el_es_20091007-21-58-35_4.wav	data\el_es\es\20091007-0900-PLENARY-16-el_es_20091007-21-58-35_4.wav
data\el_es\el\20091007-0900-PLENARY-16-el_es_20091007-21-58-35_5.wav	data\el_es\es\20091007-0900-PLENARY-16-el_es_20091007-21-58-35_5.wav
data\el_es\el\20091008-0900-PLENARY-6-el_es_20091008-11-43-40_0.wav	data\el_es\es\20091008-0900-PLENARY-6-el_es_20091008-11-43-40_0.wav
data\el_es\el\20091008-0900-PLENARY-6-el_es_20091008-11-43-40_1.wav	data\el_es\es\20091008-0900-PLENARY-6-el_es_20091008-11-43-40_1.wav
data\el_es\el\20091008-0900-PLENARY-6-el_es_20091008-11-43-40_2.wav	data\el_es\es\20091008-0900-PLENARY-6-el_es_20091008-11-43-40_2.wav
data\el_es\el\20091019-0900-PLENARY-10-el_es_20091019-17-46-12_3.wav	data\el_es\es\20091019-0900-PLENARY-10-el_es_20091019-17-46-12_3.wav
data\el_es\el\20091019-0900-PLENARY-10-el_es_20091019-17-46-12_4.wav	data\el_es\es\20091019-0900-PLENARY-10-el_es_20091019-17-46-12_4.wav
data\el_es\el\20091019-0900-PLENARY-10-el_es_20091019-17-46-12_5.wav	data\el_es\es\20091019-0900-PLENARY-10-el_es_20091019-17-46-12_5.wav
data\el_es\el\20091019-0900-PLENARY-10-el_es_20091019-17-46-12_6.wav	data\el_es\es\20091019-0900-PLENARY-10-el_es_20091019-17-46-12_6.wav
data\el_es\el\20091019-0900-PLENARY-10-el_es_20091019-17-53-50_0.wav	data\el_es\es\20091019-0900-PLENARY-10-el_es_20091019-17-53-50_0.wav
data\el_es\el\20091019-0900-PLENARY-10-el_es_20091019-17-53-50_1.wav	data\el_es\es\20091019-0900-PLENARY-10-el_es_20091019-17-53-50_1.wav
data\el_es\el\20091019-0900-PLENARY-10-el_es_20091019-17-53-50_2.wav	data\el_es\es\20091019-0900-PLENARY-10-el_es_20091019-17-53-50_2.wav
data\el_es\el\20091019-0900-PLENARY-10-el_es_20091019-17-53-50_3.wav	data\el_es\es\20091019-0900-PLENARY-10-el_es_20091019-17-53-50_3.wav
data\el_es\el\20091019-0900-PLENARY-10-el_es_20091019-17-53-50_4.wav	data\el_es\es\20091019-0900-PLENARY-10-el_es_20091019-17-53-50_4.wav
data\el_es\el\20091019-0900-PLENARY-11-el_es_20091019-18-51-44_1.wav	data\el_es\es\20091019-0900-PLENARY-11-el_es_20091019-18-51-44_1.wav
data\el_es\el\20091019-0900-PLENARY-11-el_es_20091019-18-51-44_10.wav	data\el_es\es\20091019-0900-PLENARY-11-el_es_20091019-18-51-44_10.wav
data\el_es\el\20091019-0900-PLENARY-11-el_es_20091019-18-51-44_2.wav	data\el_es\es\20091019-0900-PLENARY-11-el_es_20091019-18-51-44_2.wav
data\el_es\el\20091019-0900-PLENARY-11-el_es_20091019-18-51-44_3.wav	data\el_es\es\20091019-0900-PLENARY-11-el_es_20091019-18-51-44_3.wav
data\el_es\el\20091019-0900-PLENARY-11-el_es_20091019-18-51-44_4.wav	data\el_es\es\20091019-0900-PLENARY-11-el_es_20091019-18-51-44_4.wav
data\el_es\el\20091019-0900-PLENARY-11-el_es_20091019-18-51-44_5.wav	data\el_es\es\20091019-0900-PLENARY-11-el_es_20091019-18-51-44_5.wav
data\el_es\el\20091019-0900-PLENARY-11-el_es_20091019-18-51-44_6.wav	data\el_es\es\20091019-0900-PLENARY-11-el_es_20091019-18-51-44_6.wav
data\el_es\el\20091019-0900-PLENARY-11-el_es_20091019-18-51-44_7.wav	data\el_es\es\20091019-0900-PLENARY-11-el_es_20091019-18-51-44_7.wav
data\el_es\el\20091019-0900-PLENARY-11-el_es_20091019-18-51-44_8.wav	data\el_es\es\20091019-0900-PLENARY-11-el_es_20091019-18-51-44_8.wav
data\el_es\el\20091019-0900-PLENARY-11-el_es_20091019-18-51-44_9.wav	data\el_es\es\20091019-0900-PLENARY-11-el_es_20091019-18-51-44_9.wav
data\el_es\el\20091020-0900-PLENARY-12-el_es_20091020-15-45-45_1.wav	data\el_es\es\20091020-0900-PLENARY-12-el_es_20091020-15-45-45_1.wav
data\el_es\el\20091020-0900-PLENARY-12-el_es_20091020-15-45-45_2.wav	data\el_es\es\20091020-0900-PLENARY-12-el_es_20091020-15-45-45_2.wav
data\el_es\el\20091020-0900-PLENARY-12-el_es_20091020-15-45-45_3.wav	data\el_es\es\20091020-0900-PLENARY-12-el_es_20091020-15-45-45_3.wav
data\el_es\el\20091020-0900-PLENARY-12-el_es_20091020-15-45-45_4.wav	data\el_es\es\20091020-0900-PLENARY-12-el_es_20091020-15-45-45_4.wav
data\el_es\el\20091020-0900-PLENARY-12-el_es_20091020-15-45-45_5.wav	data\el_es\es\20091020-0900-PLENARY-12-el_es_20091020-15-45-45_5.wav
data\el_es\el\20091020-0900-PLENARY-12-el_es_20091020-15-50-12_0.wav	data\el_es\es\20091020-0900-PLENARY-12-el_es_20091020-15-50-12_0.wav
data\el_es\el\20091020-0900-PLENARY-12-el_es_20091020-15-50-12_1.wav	data\el_es\es\20091020-0900-PLENARY-12-el_es_20091020-15-50-12_1.wav
data\el_es\el\20091020-0900-PLENARY-13-el_es_20091020-16-51-37_2.wav	data\el_es\es\20091020-0900-PLENARY-13-el_es_20091020-16-51-37_2.wav
data\el_es\el\20091020-0900-PLENARY-13-el_es_20091020-16-51-37_3.wav	data\el_es\es\20091020-0900-PLENARY-13-el_es_20091020-16-51-37_3.wav
data\el_es\el\20091020-0900-PLENARY-13-el_es_20091020-17-39-09_11.wav	data\el_es\es\20091020-0900-PLENARY-13-el_es_20091020-17-39-09_11.wav
data\el_es\el\20091020-0900-PLENARY-13-el_es_20091020-17-39-09_13.wav	data\el_es\es\20091020-0900-PLENARY-13-el_es_20091020-17-39-09_13.wav
data\el_es\el\20091020-0900-PLENARY-13-el_es_20091020-17-39-09_14.wav	data\el_es\es\20091020-0900-PLENARY-13-el_es_20091020-17-39-09_14.wav
data\el_es\el\20091020-0900-PLENARY-13-el_es_20091020-17-39-09_3.wav	data\el_es\es\20091020-0900-PLENARY-13-el_es_20091020-17-39-09_3.wav
data\el_es\el\20091020-0900-PLENARY-13-el_es_20091020-17-39-09_4.wav	data\el_es\es\20091020-0900-PLENARY-13-el_es_20091020-17-39-09_4.wav
data\el_es\el\20091020-0900-PLENARY-13-el_es_20091020-17-39-09_5.wav	data\el_es\es\20091020-0900-PLENARY-13-el_es_20091020-17-39-09_5.wav
data\el_es\el\20091020-0900-PLENARY-13-el_es_20091020-17-39-09_7.wav	data\el_es\es\20091020-0900-PLENARY-13-el_es_20091020-17-39-09_7.wav
data\el_es\el\20091020-0900-PLENARY-13-el_es_20091020-17-39-09_9.wav	data\el_es\es\20091020-0900-PLENARY-13-el_es_20091020-17-39-09_9.wav
data\el_es\el\20091020-0900-PLENARY-15-el_es_20091020-19-24-17_1.wav	data\el_es\es\20091020-0900-PLENARY-15-el_es_20091020-19-24-17_1.wav
data\el_es\el\20091020-0900-PLENARY-15-el_es_20091020-19-24-17_2.wav	data\el_es\es\20091020-0900-PLENARY-15-el_es_20091020-19-24-17_2.wav
data\el_es\el\20091020-0900-PLENARY-15-el_es_20091020-19-24-17_5.wav	data\el_es\es\20091020-0900-PLENARY-15-el_es_20091020-19-24-17_5.wav
data\el_es\el\20091020-0900-PLENARY-16-el_es_20091020-20-38-23_0.wav	data\el_es\es\20091020-0900-PLENARY-16-el_es_20091020-20-38-23_0.wav
data\el_es\el\20091020-0900-PLENARY-16-el_es_20091020-20-38-23_2.wav	data\el_es\es\20091020-0900-PLENARY-16-el_es_20091020-20-38-23_2.wav
data\el_es\el\20091020-0900-PLENARY-16-el_es_20091020-20-38-23_3.wav	data\el_es\es\20091020-0900-PLENARY-16-el_es_20091020-20-38-23_3.wav
data\el_es\el\20091020-0900-PLENARY-16-el_es_20091020-20-50-57_0.wav	data\el_es\es\20091020-0900-PLENARY-16-el_es_20091020-20-50-57_0.wav
data\el_es\el\20091020-0900-PLENARY-16-el_es_20091020-20-50-57_1.wav	data\el_es\es\20091020-0900-PLENARY-16-el_es_20091020-20-50-57_1.wav
data\el_es\el\20091020-0900-PLENARY-16-el_es_20091020-20-50-57_3.wav	data\el_es\es\20091020-0900-PLENARY-16-el_es_20091020-20-50-57_3.wav
data\el_es\el\20091020-0900-PLENARY-4-el_es_20091020-10-39-16_1.wav	data\el_es\es\20091020-0900-PLENARY-4-el_es_20091020-10-39-16_1.wav
data\el_es\el\20091020-0900-PLENARY-4-el_es_20091020-10-39-16_2.wav	data\el_es\es\20091020-0900-PLENARY-4-el_es_20091020-10-39-16_2.wav
data\el_es\el\20091020-0900-PLENARY-4-el_es_20091020-10-39-16_3.wav	data\el_es\es\20091020-0900-PLENARY-4-el_es_20091020-10-39-16_3.wav
data\el_es\el\20091021-0900-PLENARY-3-el_es_20091021-10-59-29_0.wav	data\el_es\es\20091021-0900-PLENARY-3-el_es_20091021-10-59-29_0.wav
data\el_es\el\20091021-0900-PLENARY-3-el_es_20091021-10-59-29_2.wav	data\el_es\es\20091021-0900-PLENARY-3-el_es_20091021-10-59-29_2.wav
data\el_es\el\20091021-0900-PLENARY-3-el_es_20091021-10-59-29_3.wav	data\el_es\es\20091021-0900-PLENARY-3-el_es_20091021-10-59-29_3.wav
data\el_es\el\20091021-0900-PLENARY-3-el_es_20091021-10-59-29_4.wav	data\el_es\es\20091021-0900-PLENARY-3-el_es_20091021-10-59-29_4.wav
data\el_es\el\20091021-0900-PLENARY-3-el_es_20091021-10-59-29_5.wav	data\el_es\es\20091021-0900-PLENARY-3-el_es_20091021-10-59-29_5.wav
data\el_es\el\20091021-0900-PLENARY-3-el_es_20091021-10-59-29_7.wav	data\el_es\es\20091021-0900-PLENARY-3-el_es_20091021-10-59-29_7.wav
data\el_es\el\20091021-0900-PLENARY-3-el_es_20091021-11-35-17_1.wav	data\el_es\es\20091021-0900-PLENARY-3-el_es_20091021-11-35-17_1.wav
data\el_es\el\20091021-0900-PLENARY-3-el_es_20091021-11-35-17_3.wav	data\el_es\es\20091021-0900-PLENARY-3-el_es_20091021-11-35-17_3.wav
data\el_es\el\20091021-0900-PLENARY-3-el_es_20091021-11-35-17_4.wav	data\el_es\es\20091021-0900-PLENARY-3-el_es_20091021-11-35-17_4.wav
data\el_es\el\20091021-0900-PLENARY-3-el_es_20091021-11-35-17_5.wav	data\el_es\es\20091021-0900-PLENARY-3-el_es_20091021-11-35-17_5.wav
data\el_es\el\20091021-0900-PLENARY-3-el_es_20091021-11-35-17_6.wav	data\el_es\es\20091021-0900-PLENARY-3-el_es_20091021-11-35-17_6.wav
data\el_es\el\20091021-0900-PLENARY-3-el_es_20091021-11-35-17_7.wav	data\el_es\es\20091021-0900-PLENARY-3-el_es_20091021-11-35-17_7.wav
data\el_es\el\20091021-0900-PLENARY-4-el_es_20091021-12-09-00_2.wav	data\el_es\es\20091021-0900-PLENARY-4-el_es_20091021-12-09-00_2.wav
data\el_es\el\20091021-0900-PLENARY-4-el_es_20091021-12-09-00_3.wav	data\el_es\es\20091021-0900-PLENARY-4-el_es_20091021-12-09-00_3.wav
data\el_es\el\20091021-0900-PLENARY-4-el_es_20091021-12-09-00_4.wav	data\el_es\es\20091021-0900-PLENARY-4-el_es_20091021-12-09-00_4.wav
data\el_es\el\20091021-0900-PLENARY-4-el_es_20091021-12-09-00_5.wav	data\el_es\es\20091021-0900-PLENARY-4-el_es_20091021-12-09-00_5.wav
data\el_es\el\20091021-0900-PLENARY-4-el_es_20091021-12-09-00_6.wav	data\el_es\es\20091021-0900-PLENARY-4-el_es_20091021-12-09-00_6.wav
data\el_es\el\20091021-0900-PLENARY-4-el_es_20091021-12-09-00_8.wav	data\el_es\es\20091021-0900-PLENARY-4-el_es_20091021-12-09-00_8.wav
data\el_es\el\20091021-0900-PLENARY-4-el_es_20091021-12-09-00_9.wav	data\el_es\es\20091021-0900-PLENARY-4-el_es_20091021-12-09-00_9.wav
data\el_es\el\20091021-0900-PLENARY-5-el_es_20091021-12-37-40_1.wav	data\el_es\es\20091021-0900-PLENARY-5-el_es_20091021-12-37-40_1.wav
data\el_es\el\20091021-0900-PLENARY-8-el_es_20091021-16-00-51_1.wav	data\el_es\es\20091021-0900-PLENARY-8-el_es_20091021-16-00-51_1.wav
data\el_es\el\20091021-0900-PLENARY-8-el_es_20091021-16-00-51_3.wav	data\el_es\es\20091021-0900-PLENARY-8-el_es_20091021-16-00-51_3.wav
data\el_es\el\20091021-0900-PLENARY-8-el_es_20091021-16-00-51_4.wav	data\el_es\es\20091021-0900-PLENARY-8-el_es_20091021-16-00-51_4.wav
data\el_es\el\20091021-0900-PLENARY-8-el_es_20091021-16-00-51_5.wav	data\el_es\es\20091021-0900-PLENARY-8-el_es_20091021-16-00-51_5.wav
data\el_es\el\20091021-0900-PLENARY-8-el_es_20091021-16-00-51_6.wav	data\el_es\es\20091021-0900-PLENARY-8-el_es_20091021-16-00-51_6.wav
data\el_es\el\20091021-0900-PLENARY-9-el_es_20091021-17-27-14_0.wav	data\el_es\es\20091021-0900-PLENARY-9-el_es_20091021-17-27-14_0.wav
data\el_es\el\20091021-0900-PLENARY-9-el_es_20091021-17-27-14_1.wav	data\el_es\es\20091021-0900-PLENARY-9-el_es_20091021-17-27-14_1.wav
data\el_es\el\20091021-0900-PLENARY-9-el_es_20091021-17-27-14_13.wav	data\el_es\es\20091021-0900-PLENARY-9-el_es_20091021-17-27-14_13.wav
data\el_es\el\20091021-0900-PLENARY-9-el_es_20091021-17-27-14_16.wav	data\el_es\es\20091021-0900-PLENARY-9-el_es_20091021-17-27-14_16.wav
data\el_es\el\20091021-0900-PLENARY-9-el_es_20091021-17-27-14_18.wav	data\el_es\es\20091021-0900-PLENARY-9-el_es_20091021-17-27-14_18.wav
data\el_es\el\20091021-0900-PLENARY-9-el_es_20091021-17-27-14_2.wav	data\el_es\es\20091021-0900-PLENARY-9-el_es_20091021-17-27-14_2.wav
data\el_es\el\20091021-0900-PLENARY-9-el_es_20091021-17-27-14_4.wav	data\el_es\es\20091021-0900-PLENARY-9-el_es_20091021-17-27-14_4.wav
data\el_es\el\20091021-0900-PLENARY-9-el_es_20091021-17-27-14_5.wav	data\el_es\es\20091021-0900-PLENARY-9-el_es_20091021-17-27-14_5.wav
data\el_es\el\20091021-0900-PLENARY-9-el_es_20091021-17-27-14_7.wav	data\el_es\es\20091021-0900-PLENARY-9-el_es_20091021-17-27-14_7.wav
data\el_es\el\20091021-0900-PLENARY-9-el_es_20091021-17-27-14_8.wav	data\el_es\es\20091021-0900-PLENARY-9-el_es_20091021-17-27-14_8.wav
data\el_es\el\20091021-0900-PLENARY-9-el_es_20091021-17-41-42_2.wav	data\el_es\es\20091021-0900-PLENARY-9-el_es_20091021-17-41-42_2.wav
data\el_es\el\20091021-0900-PLENARY-9-el_es_20091021-17-41-42_3.wav	data\el_es\es\20091021-0900-PLENARY-9-el_es_20091021-17-41-42_3.wav
data\el_es\el\20091021-0900-PLENARY-9-el_es_20091021-17-41-42_5.wav	data\el_es\es\20091021-0900-PLENARY-9-el_es_20091021-17-41-42_5.wav
data\el_es\el\20091021-0900-PLENARY-9-el_es_20091021-17-41-42_7.wav	data\el_es\es\20091021-0900-PLENARY-9-el_es_20091021-17-41-42_7.wav
data\el_es\el\20091021-0900-PLENARY-9-el_es_20091021-17-41-42_8.wav	data\el_es\es\20091021-0900-PLENARY-9-el_es_20091021-17-41-42_8.wav
data\el_es\el\20091022-0900-PLENARY-13-el_es_20091022-16-22-04_0.wav	data\el_es\es\20091022-0900-PLENARY-13-el_es_20091022-16-22-04_0.wav
data\el_es\el\20091022-0900-PLENARY-13-el_es_20091022-16-22-04_2.wav	data\el_es\es\20091022-0900-PLENARY-13-el_es_20091022-16-22-04_2.wav
data\el_es\el\20091022-0900-PLENARY-13-el_es_20091022-16-22-04_4.wav	data\el_es\es\20091022-0900-PLENARY-13-el_es_20091022-16-22-04_4.wav
data\el_es\el\20091022-0900-PLENARY-2-el_es_20091022-09-15-38_1.wav	data\el_es\es\20091022-0900-PLENARY-2-el_es_20091022-09-15-38_1.wav
data\el_es\el\20091022-0900-PLENARY-2-el_es_20091022-09-23-05_0.wav	data\el_es\es\20091022-0900-PLENARY-2-el_es_20091022-09-23-05_0.wav
data\el_es\el\20091022-0900-PLENARY-2-el_es_20091022-09-23-05_1.wav	data\el_es\es\20091022-0900-PLENARY-2-el_es_20091022-09-23-05_1.wav
data\el_es\el\20091022-0900-PLENARY-2-el_es_20091022-09-23-05_2.wav	data\el_es\es\20091022-0900-PLENARY-2-el_es_20091022-09-23-05_2.wav
data\el_es\el\20091022-0900-PLENARY-2-el_es_20091022-09-23-05_4.wav	data\el_es\es\20091022-0900-PLENARY-2-el_es_20091022-09-23-05_4.wav
data\el_es\el\20091022-0900-PLENARY-2-el_es_20091022-09-23-05_5.wav	data\el_es\es\20091022-0900-PLENARY-2-el_es_20091022-09-23-05_5.wav
data\el_es\el\20091022-0900-PLENARY-2-el_es_20091022-09-23-05_6.wav	data\el_es\es\20091022-0900-PLENARY-2-el_es_20091022-09-23-05_6.wav
data\el_es\el\20091022-0900-PLENARY-2-el_es_20091022-09-23-05_7.wav	data\el_es\es\20091022-0900-PLENARY-2-el_es_20091022-09-23-05_7.wav
data\el_es\el\20091022-0900-PLENARY-3-el_es_20091022-10-05-02_4.wav	data\el_es\es\20091022-0900-PLENARY-3-el_es_20091022-10-05-02_4.wav
data\el_es\el\20091022-0900-PLENARY-3-el_es_20091022-10-05-02_5.wav	data\el_es\es\20091022-0900-PLENARY-3-el_es_20091022-10-05-02_5.wav
data\el_es\el\20091022-0900-PLENARY-3-el_es_20091022-10-05-02_6.wav	data\el_es\es\20091022-0900-PLENARY-3-el_es_20091022-10-05-02_6.wav
data\el_es\el\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_0.wav	data\el_es\es\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_0.wav
data\el_es\el\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_10.wav	data\el_es\es\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_10.wav
data\el_es\el\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_11.wav	data\el_es\es\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_11.wav
data\el_es\el\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_12.wav	data\el_es\es\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_12.wav
data\el_es\el\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_14.wav	data\el_es\es\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_14.wav
data\el_es\el\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_15.wav	data\el_es\es\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_15.wav
data\el_es\el\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_2.wav	data\el_es\es\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_2.wav
data\el_es\el\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_5.wav	data\el_es\es\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_5.wav
data\el_es\el\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_6.wav	data\el_es\es\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_6.wav
data\el_es\el\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_7.wav	data\el_es\es\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_7.wav
data\el_es\el\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_8.wav	data\el_es\es\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_8.wav
data\el_es\el\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_9.wav	data\el_es\es\20091111-0900-PLENARY-11-el_es_20091111-17-15-49_9.wav
data\el_es\el\20091111-0900-PLENARY-11-el_es_20091111-17-28-50_0.wav	data\el_es\es\20091111-0900-PLENARY-11-el_es_20091111-17-28-50_0.wav
data\el_es\el\20091111-0900-PLENARY-11-el_es_20091111-17-28-50_1.wav	data\el_es\es\20091111-0900-PLENARY-11-el_es_20091111-17-28-50_1.wav
data\el_es\el\20091111-0900-PLENARY-11-el_es_20091111-17-28-50_3.wav	data\el_es\es\20091111-0900-PLENARY-11-el_es_20091111-17-28-50_3.wav
data\el_es\el\20091111-0900-PLENARY-13-el_es_20091111-17-44-03_1.wav	data\el_es\es\20091111-0900-PLENARY-13-el_es_20091111-17-44-03_1.wav
data\el_es\el\20091111-0900-PLENARY-13-el_es_20091111-17-44-03_2.wav	data\el_es\es\20091111-0900-PLENARY-13-el_es_20091111-17-44-03_2.wav
data\el_es\el\20091111-0900-PLENARY-13-el_es_20091111-17-44-03_3.wav	data\el_es\es\20091111-0900-PLENARY-13-el_es_20091111-17-44-03_3.wav
data\el_es\el\20091111-0900-PLENARY-13-el_es_20091111-17-44-03_4.wav	data\el_es\es\20091111-0900-PLENARY-13-el_es_20091111-17-44-03_4.wav
data\el_es\el\20091111-0900-PLENARY-13-el_es_20091111-17-44-03_6.wav	data\el_es\es\20091111-0900-PLENARY-13-el_es_20091111-17-44-03_6.wav
data\el_es\el\20091111-0900-PLENARY-13-el_es_20091111-17-44-03_7.wav	data\el_es\es\20091111-0900-PLENARY-13-el_es_20091111-17-44-03_7.wav
data\el_es\el\20091111-0900-PLENARY-13-el_es_20091111-18-03-22_1.wav	data\el_es\es\20091111-0900-PLENARY-13-el_es_20091111-18-03-22_1.wav
data\el_es\el\20091111-0900-PLENARY-13-el_es_20091111-18-03-22_10.wav	data\el_es\es\20091111-0900-PLENARY-13-el_es_20091111-18-03-22_10.wav
data\el_es\el\20091111-0900-PLENARY-13-el_es_20091111-18-03-22_11.wav	data\el_es\es\20091111-0900-PLENARY-13-el_es_20091111-18-03-22_11.wav
data\el_es\el\20091111-0900-PLENARY-13-el_es_20091111-18-03-22_12.wav	data\el_es\es\20091111-0900-PLENARY-13-el_es_20091111-18-03-22_12.wav
data\el_es\el\20091111-0900-PLENARY-13-el_es_20091111-18-03-22_2.wav	data\el_es\es\20091111-0900-PLENARY-13-el_es_20091111-18-03-22_2.wav
data\el_es\el\20091111-0900-PLENARY-13-el_es_20091111-18-03-22_3.wav	data\el_es\es\20091111-0900-PLENARY-13-el_es_20091111-18-03-22_3.wav
data\el_es\el\20091111-0900-PLENARY-13-el_es_20091111-18-03-22_5.wav	data\el_es\es\20091111-0900-PLENARY-13-el_es_20091111-18-03-22_5.wav
data\el_es\el\20091111-0900-PLENARY-13-el_es_20091111-18-03-22_6.wav	data\el_es\es\20091111-0900-PLENARY-13-el_es_20091111-18-03-22_6.wav
data\el_es\el\20091111-0900-PLENARY-13-el_es_20091111-18-03-22_7.wav	data\el_es\es\20091111-0900-PLENARY-13-el_es_20091111-18-03-22_7.wav
data\el_es\el\20091111-0900-PLENARY-13-el_es_20091111-18-03-22_8.wav	data\el_es\es\20091111-0900-PLENARY-13-el_es_20091111-18-03-22_8.wav
data\el_es\el\20091111-0900-PLENARY-13-el_es_20091111-18-03-22_9.wav	data\el_es\es\20091111-0900-PLENARY-13-el_es_20091111-18-03-22_9.wav
data\el_es\el\20091111-0900-PLENARY-14-el_es_20091111-19-22-27_1.wav	data\el_es\es\20091111-0900-PLENARY-14-el_es_20091111-19-22-27_1.wav
data\el_es\el\20091111-0900-PLENARY-14-el_es_20091111-19-22-27_10.wav	data\el_es\es\20091111-0900-PLENARY-14-el_es_20091111-19-22-27_10.wav
data\el_es\el\20091111-0900-PLENARY-14-el_es_20091111-19-22-27_2.wav	data\el_es\es\20091111-0900-PLENARY-14-el_es_20091111-19-22-27_2.wav
data\el_es\el\20091111-0900-PLENARY-14-el_es_20091111-19-22-27_3.wav	data\el_es\es\20091111-0900-PLENARY-14-el_es_20091111-19-22-27_3.wav
data\el_es\el\20091111-0900-PLENARY-14-el_es_20091111-19-22-27_4.wav	data\el_es\es\20091111-0900-PLENARY-14-el_es_20091111-19-22-27_4.wav
data\el_es\el\20091111-0900-PLENARY-14-el_es_20091111-19-22-27_5.wav	data\el_es\es\20091111-0900-PLENARY-14-el_es_20091111-19-22-27_5.wav
data\el_es\el\20091111-0900-PLENARY-14-el_es_20091111-19-22-27_6.wav	data\el_es\es\20091111-0900-PLENARY-14-el_es_20091111-19-22-27_6.wav
data\el_es\el\20091111-0900-PLENARY-14-el_es_20091111-19-22-27_7.wav	data\el_es\es\20091111-0900-PLENARY-14-el_es_20091111-19-22-27_7.wav
data\el_es\el\20091111-0900-PLENARY-14-el_es_20091111-19-22-27_8.wav	data\el_es\es\20091111-0900-PLENARY-14-el_es_20091111-19-22-27_8.wav
data\el_es\el\20091111-0900-PLENARY-14-el_es_20091111-19-22-27_9.wav	data\el_es\es\20091111-0900-PLENARY-14-el_es_20091111-19-22-27_9.wav
data\el_es\el\20091111-0900-PLENARY-15-el_es_20091111-20-36-00_0.wav	data\el_es\es\20091111-0900-PLENARY-15-el_es_20091111-20-36-00_0.wav
data\el_es\el\20091111-0900-PLENARY-15-el_es_20091111-20-36-00_1.wav	data\el_es\es\20091111-0900-PLENARY-15-el_es_20091111-20-36-00_1.wav
data\el_es\el\20091111-0900-PLENARY-19-el_es_20091111-22-37-52_0.wav	data\el_es\es\20091111-0900-PLENARY-19-el_es_20091111-22-37-52_0.wav
data\el_es\el\20091111-0900-PLENARY-19-el_es_20091111-22-37-52_1.wav	data\el_es\es\20091111-0900-PLENARY-19-el_es_20091111-22-37-52_1.wav
data\el_es\el\20091111-0900-PLENARY-19-el_es_20091111-22-37-52_11.wav	data\el_es\es\20091111-0900-PLENARY-19-el_es_20091111-22-37-52_11.wav
data\el_es\el\20091111-0900-PLENARY-19-el_es_20091111-22-37-52_13.wav	data\el_es\es\20091111-0900-PLENARY-19-el_es_20091111-22-37-52_13.wav
data\el_es\el\20091111-0900-PLENARY-19-el_es_20091111-22-37-52_14.wav	data\el_es\es\20091111-0900-PLENARY-19-el_es_20091111-22-37-52_14.wav
data\el_es\el\20091111-0900-PLENARY-19-el_es_20091111-22-37-52_2.wav	data\el_es\es\20091111-0900-PLENARY-19-el_es_20091111-22-37-52_2.wav
data\el_es\el\20091111-0900-PLENARY-19-el_es_20091111-22-37-52_5.wav	data\el_es\es\20091111-0900-PLENARY-19-el_es_20091111-22-37-52_5.wav
